UF;2013;2014;2015;2016;2017;2018;2019
AL;79;61;55;61;58;37;18
BA;151;199;207;211;176;137;141
CE;107;74;65;88;88;53;37
DF;29;46;46;42;36;28;24
ES;35;51;37;53;45;34;26
GO;124;135;156;186;120;105;59
MA;63;72;117;113;97;71;76
MT;45;46;59;64;50;36;41
MS;26;39;36;41;23;24;20
MG;84;67;122;116;104;82;75
PA;156;180;191;224;228;194;130
PR;46;43;117;111;67;94;99
PE;73;81;116;169;250;131;136
PI;29;33;47;49;45;46;37
RJ;148;152;133;239;237;174;117
RN;16;61;58;48;83;73;58
RS;129;141;143;167;128;91;75
RR;2;2;9;5;7;14;18
SC;55;54;71;62;65;42;28
SP;380;374;356;361;338;278;199
SE;35;33;47;49;59;32;25
AC;13;19;10;13;26;20;13
AP;9;8;23;19;18;14;12
PB;28;16;48;33;38;34;26
RO;10;17;15;35;21;18;21
TO;20;14;9;14;12;17;20
AM;36;45;73;93;77;56;46
