UF;2013;2014;2015;2016;2017;2018;2019
AL;774;1120;1249;1226;1963;1961;1644
BA;3452;4852;5549;4532;7222;7088;6919
CE;3316;3778;4643;4010;5884;7947;7007
DF;2091;2329;2911;2300;2584;2812;2730
ES;5551;5742;5995;5121;3965;4748;5171
GO;3222;4220;6720;4833;5076;5028;6772
MA;1044;1419;1893;1852;2213;1931;2029
MT;2834;2894;2665;3045;3902;3689;3952
MS;2869;3280;3312;3127;3660;3810;3829
MG;32270;26265;26687;25547;31763;34986;34572
PA;4301;4613;4895;4088;4098;5410;6253
PR;7632;8969;8864;8576;10533;11816;12339
PE;5058;5293;4767;3858;4013;5508;6858
PI;514;488;706;904;968;789;928
RJ;17607;15173;13770;13094;12173;12034;12092
RN;290;343;280;318;138;126;537
RS;10085;9902;9146;8845;9445;11546;12562
RR;40;22;137;217;385;437;422
SC;6181;6072;7092;6759;8590;10498;7869
SP;43556;41563;44364;45549;49346;48322;47483
SE;541;554;457;727;791;742;1177
AC;542;476;299;330;620;598;1142
AP;294;131;285;350;275;355;609
PB;541;585;544;523;785;725;910
RO;1124;1078;1004;1019;586;1182;2360
TO;643;668;590;584;678;732;802
AM;3172;2786;1932;2314;3374;2421;2260
